import time: self [us] | cumulative | imported package
import time:        27 |        389 |           pydantic_extra_types.color
import time:       610 |       2031 |         fastapi.encoders
import time:      1348 |       1348 |         fastapi.sse
import time:       313 |        313 |           starlette._exception_handler
import time:       717 |        717 |           starlette.convertors
import time:       481 |        481 |           starlette.middleware
import time:       850 |       2361 |         starlette.routing
import time:      1571 |     256408 |       fastapi.routing
import time:       238 |        238 |         fastapi.websockets
import time:       356 |        594 |       fastapi.exception_handlers
import time:       292 |        292 |         fastapi.middleware
import time:       395 |        687 |       fastapi.middleware.asyncexitstack
import time:       360 |        360 |       fastapi.openapi.docs
import time:       610 |        610 |             email.feedparser
import time:       330 |        940 |           email.parser
import time:       871 |       1811 |         http.client
import time:       945 |        945 |         fastapi.responses
import time:       439 |       3194 |       fastapi.openapi.utils
import time:      1025 |       1025 |             html.entities
import time:       568 |       1593 |           html
import time:       482 |       2074 |         starlette.middleware.errors
import time:       423 |        423 |         starlette.middleware.exceptions
import time:       376 |       2872 |       starlette.applications
import time:       513 |        513 |       starlette.middleware.base
import time:      1789 |     267323 |     fastapi.applications
import time:       328 |        328 |     fastapi.requests
import time:       616 |     269981 |   fastapi
import time:       293 |        293 |     starlette.middleware.cors
import time:       251 |        543 |   fastapi.middleware.cors
import time:       460 |        460 |     starlette.staticfiles
import time:       229 |        688 |   fastapi.staticfiles
import time:       466 |        466 |               sqlalchemy.util.preloaded
import time:       305 |        305 |                   sqlalchemy.cyextension
import time:       886 |        886 |                   sqlalchemy.cyextension.collections
import time:       612 |        612 |                   sqlalchemy.cyextension.immutabledict
import time:       527 |        527 |                   sqlalchemy.cyextension.processors
import time:       513 |        513 |                   sqlalchemy.cyextension.resultproxy
import time:      1578 |       1578 |                           _wmi
import time:      1012 |       2589 |                         platform
import time:     67574 |      70163 |                       sqlalchemy.util.compat
import time:      1011 |      71174 |                     sqlalchemy.exc
import time:       554 |      71727 |                   sqlalchemy.cyextension.util
import time:       380 |      74947 |                 sqlalchemy.util._has_cy
import time:      1581 |       1581 |                 sqlalchemy.util.typing
import time:      1538 |      78066 |               sqlalchemy.util._collections
import time:        50 |         50 |                       _heapq
import time:       477 |        526 |                     heapq
import time:       389 |        389 |                     asyncio.constants
import time:       314 |        314 |                     asyncio.coroutines
import time:       294 |        294 |                       asyncio.format_helpers
import time:       356 |        356 |                         asyncio.base_futures
import time:       357 |        357 |                         asyncio.exceptions
import time:       304 |        304 |                         asyncio.base_tasks
import time:       990 |       2006 |                       _asyncio
import time:       592 |       2892 |                     asyncio.events
import time:       387 |        387 |                     asyncio.futures
import time:       360 |        360 |                     asyncio.protocols
import time:       404 |        404 |                       asyncio.transports
import time:       274 |        274 |                       asyncio.log
import time:       689 |       1365 |                     asyncio.sslproto
import time:       272 |        272 |                         asyncio.mixins
import time:       582 |        854 |                       asyncio.locks
import time:       407 |        407 |                         asyncio.queues
import time:       552 |        552 |                         asyncio.timeouts
import time:       593 |       1551 |                       asyncio.tasks
import time:       360 |       2764 |                     asyncio.staggered
import time:       330 |        330 |                     asyncio.trsock
import time:      1102 |      10425 |                   asyncio.base_events
import time:       426 |        426 |                   asyncio.runners
import time:       582 |        582 |                   asyncio.streams
import time:       399 |        399 |                   asyncio.subprocess
import time:      3294 |       3294 |                   asyncio.taskgroups
import time:       471 |        471 |                   asyncio.threads
import time:      1184 |       1184 |                     _overlapped
import time:       479 |        479 |                     asyncio.base_subprocess
import time:       670 |        670 |                     asyncio.proactor_events
import time:       660 |        660 |                     asyncio.selector_events
import time:       422 |        422 |                     asyncio.windows_utils
import time:       761 |       4173 |                   asyncio.windows_events
import time:      1062 |      20827 |                 asyncio
import time:      1181 |       1181 |                   greenlet._greenlet
import time:       566 |       1746 |                 greenlet
import time:      1751 |       1751 |                   sqlalchemy.util.langhelpers
import time:       500 |       2251 |                 sqlalchemy.util._concurrency_py3k
import time:       965 |      25788 |               sqlalchemy.util.concurrency
import time:       468 |        468 |               sqlalchemy.util.deprecations
import time:       696 |     105482 |             sqlalchemy.util
import time:       535 |        535 |                               sqlalchemy.event.registry
import time:       362 |        896 |                             sqlalchemy.event.legacy
import time:       994 |       1890 |                           sqlalchemy.event.attr
import time:       598 |       2487 |                         sqlalchemy.event.base
import time:       451 |       2937 |                       sqlalchemy.event.api
import time:       409 |       3346 |                     sqlalchemy.event
import time:       586 |        586 |                           sqlalchemy.log
